,0,1,2,3,4,5,6,7,8,9,10,11
0,794,"Oh no-no-no-no, I meant Chandler.",Joey,6,2,74,6,3,23,"00:07:24,485","00:07:26,695",74_6_train
1,3963,Paid your phone bill?,Chandler,0,0,404,18,6,12,"0:03:23,286","0:03:24,288",404_18_train
2,2692,"Thanks. Yeah, Carol borrowed it for a class, and I have to get it back to the museum.",Ross,0,0,270,4,1,9,"00:05:03,052","00:05:07,306",270_4_test
3,4559,"Now that you’re a couple, we don’t get two presents from you guys?",Joey,0,0,464,8,7,14,"00:11:14,924","00:11:17,425",464_8_train
4,9584,"I thought we were just gonna    capture him and, and you know, set him free in the country side where he can    maybe meet a friendly possom and a wisecracking owl.",Phoebe,3,2,953,7,9,12,"00:08:23,669","00:08:34,888",953_7_train
5,7225,Bye-bye little puppet Joey hand?,Chandler,0,0,720,8,5,7,"00:10:03,352","00:10:06,605",720_8_train
6,496,Wait! What about Joey?,Monica,0,0,49,16,5,5,"00:01:13,114","00:01:15,657",49_16_test
7,4954,"Phoebe, oh my God! Wh-wh-what are you doing here?",Ross,1,1,505,0,7,2,"00:01:57,200","00:01:59,451",505_0_train
8,413,"Yeah, I lost it.",Ross,3,2,42,1,4,7,"00:21:25,325","00:21:26,826",42_1_test
9,2735,"Oh, my mom called, they’re gonna run our engagement announcement in the local paper, so we’re looking for a good picture of us.",Monica,4,1,278,3,7,5,"00:00:12,137","00:00:21,061",278_3_test
10,158,I guess.,Charlie,3,2,15,9,9,23,"0:42:52,950","0:42:55,208",15_9_train
11,9034,Oh crap!,Monica,6,2,903,2,7,17,"00:16:06,799","00:16:09,092",903_2_train
12,6106,"So, we're decided, no on plaid, yes on pink?",Kim,0,0,614,0,5,18,"00:14:31,704","00:14:34,414",614_0_train
13,7128,"Oh! Look at that, time's up! My turn!",Chandler,4,1,706,1,5,13,"00:00:13,680","00:00:14,722",706_1_train
14,3215,"Monica, I want you there in the front row when I win.",Pete,4,1,319,19,3,23,"00:19:02,307","00:19:05,810",319_19_train
15,4973,"Your good heart Rach,  and, and....",Ross,3,2,506,3,3,16,"00:20:59,883","00:21:02,009",506_3_train
16,5881,"Good morning.  Drake, it’s your brother Stryker. Can you hear me?",Dr. Stryker Ramoray,0,0,594,9,7,4,"00:19:04,268","00:19:16,487",594_9_train
17,6572,"I am so, so, so, so sorry!",Chandler,3,2,654,0,6,17,"00:20:03,118","00:20:06,996",654_0_train
18,8268,This is the first time in my life I’m doing something that I’m actually good at.,Rachel,6,2,831,1,3,15,"00:12:12,314","00:12:15,442",831_1_train
19,4798,Let me see that!,Joey,1,2,486,7,6,4,"00:06:36,020","00:06:38,563",486_7_train
20,958,"Come on, give me one good reason why you don't wanna go.",Rachel,0,0,95,10,5,3,"0:04:35,566","0:04:38,069",95_10_train
21,846,"Chandler, we still haven’t gotten an RSVP from your dad.",Monica,0,0,82,0,7,22,"00:03:07,687","00:03:10,981",82_0_train
22,2867,You’re paying for that.,Gunther,0,0,288,1,6,13,"0:15:41,315","0:15:42,316",288_1_train
23,10149,"Okay, who’s next?!",Rachel,0,0,1010,8,3,25,"00:07:19,856","00:07:22,232",1010_8_train
24,3915,"Oh, God, he's such a pig,",Rachel,5,2,398,10,1,12,"0:15:41,044","0:15:42,306",398_10_train
