,0,1,2,3,4,5,6,7,8,9,10,11
0,748,Alright. I looked all over the building and I couldn't find the kitty anywhere.,Phoebe,0,0,76,14,1,7,"00:16:12,179","00:16:16,307",76_14_test
1,101,So where are we going next?,Ross,0,0,10,0,5,20,"00:06:52,412","00:06:53,412",10_0_dev
2,631,Are you seeing anybody right now?,Chandler,0,0,57,1,4,10,"0:05:18,667","0:05:20,827",57_1_train
3,3008,"I'll be right there, Bernice.",Barry,0,0,301,3,1,20,"00:19:41,388","00:19:44,265",301_3_train
4,6428,"Chandler, you have an assistant right?",Rachel,0,0,641,0,7,4,"00:07:16,686","00:07:18,770",641_0_train
5,1717,Actually I do have one small complaint.,3rd Customer,0,0,174,4,9,19,"00:06:08,202","00:06:10,704",174_4_train
6,2692,"Come here to me. No-no, you come here to me.",Ross,0,0,270,0,5,16,"00:15:20,502","00:15:25,924",270_0_train
7,2443,"And she was like ""Oh, don't worry!",Phoebe,3,2,241,1,9,22,"0:01:27,212","0:01:31,404",241_1_train
8,2355,"Yeah, well, it's an important day. I wanna look nice. Um, has uh Dr. Franzblau been by?",Rachel,0,0,232,14,1,23,"00:05:52,894","00:05:59,066",232_14_train
9,2320,"Well, goodbye Chandler. I had a great blackout.  See ya.",Jill,0,0,229,2,1,7,"00:21:52,102","00:21:58,065",229_2_train
10,6185,It’s not fair Ross we got here first!,Rachel,6,2,621,4,8,23,"0:08:55,773","0:08:59,319",621_4_train
11,1418,I can’t.,Phoebe,3,2,146,10,3,14,"0:12:03,147","0:12:03,683",146_10_train
12,6895,And this is Rachel.,Phoebe,0,0,678,8,3,5,"0:04:26,808","0:04:27,990",678_8_train
13,3356,Well I am that. And that whole rage thing is definitely behind me.,Ross,0,0,335,2,5,14,"00:21:38,213","00:21:42,174",335_2_train
14,327,"So umm, now do you have any of Matt Lauer’s clothes here? Maybe? Just ones that haven’t been cleaned yet?",Phoebe,0,0,31,3,6,22,"00:04:44,534","00:04:50,372",31_3_train
15,10136,"Uh, Pheebs? Who's George Snuffalopagus?",Rachel,0,0,1009,14,1,4,"00:15:12,036","00:15:15,330",1009_14_train
16,202,"Okay, well you are just gonna have too, okay.",Rachel,6,2,17,30,3,7,"00:15:10,743","00:15:12,994",17_30_test
17,2463,"Oh, you got me.",Rachel,0,0,249,1,3,11,"0:04:10,428","0:04:13,480",249_1_test
18,9344,Don’t wink at me. And put on your apron.,Gunther,6,2,933,14,6,12,"00:10:34,508","00:10:39,304",933_14_train
19,7755,Why have you been following me?,Phoebe,6,2,780,2,3,3,"0:02:48,710","0:02:50,202",780_2_train
20,1146,Yeah.,Rachel,0,0,110,1,6,11,"0:06:54,874","0:06:56,125",110_1_dev
21,2993,"Hey, listen, lady.......whoa.",Joey,1,2,300,4,1,23,"0:03:46,566","0:03:47,696",300_4_train
22,1195,"Well, I mean, are you sure you want to go out with her?",Rachel,0,0,122,11,3,18,"0:07:28,364","0:07:34,046",122_11_train
23,1717,You went through all this time and effort to make this tape for me!,Monica,3,2,173,14,6,17,"00:12:54,732","00:12:58,777",173_14_test
24,7252,"Oh-whoa-hey, dude, what are you doing?!",Joey,1,2,722,14,5,20,"00:16:16,350","00:16:17,642",722_14_train
25,7087,Oh b-b-but it is!,Rachel,6,2,700,8,6,1,"0:15:33,599","0:15:35,885",700_8_train
26,926,"No. No, she told me his name was Ken Adams.",Rachel,0,0,85,15,8,4,"00:19:12,484","00:19:15,153",85_15_dev
27,9907,How could it not be?,Phoebe,1,2,988,2,7,21,"00:18:49,461","00:18:52,505",988_2_train
28,6508,It’s been a long walk from the flower shop and I was startin’ to feel faint so,Joey,0,0,649,6,8,12,"00:04:46,077","00:04:49,705",649_6_train
29,2495,"What did, what did he say?",Rachel,2,2,244,4,2,4,"00:11:41,409","00:11:43,284",244_4_train
30,5899,"The babies are asleep, I’m sure you’ll be okay on your own for a while!",Monica,0,0,596,9,6,5,"00:14:12,810","00:14:15,562",596_9_train
31,7652,"I hear ya, Mugsy!",Chandler,0,0,770,3,5,5,"00:08:19,081","00:08:20,248",770_3_train
32,1579,"Nooo, he?s leaving for a better job.",Rachel,0,0,160,11,3,14,"00:05:59,609","00:06:01,735",160_11_train
33,4468,Oy.,Julie,4,1,455,10,2,2,"00:20:47,996","00:20:50,414",455_10_train
34,2693,What's it look like?,Susan,0,0,270,5,1,9,"00:05:07,473","00:05:09,266",270_5_test
35,8286,Were you so late because you were burring this woman?,Chandler,3,2,832,11,4,10,"00:00:40,957","00:00:44,251",832_11_train
36,4702,What are you up too?,Monica,0,0,478,4,6,24,"00:19:42,556","00:19:43,681",478_4_train
37,7533,I don’t have too. I can just look at you.,Ross,4,1,755,6,3,10,"00:17:00,269","00:17:03,438",755_6_train
38,6125,My late husband gave me that lighter.  I'm not kidding.,Kim,3,2,614,19,5,18,"00:15:24,506","00:15:30,345",614_19_train
39,1129,"So, this must be kinda neat for ya, huh?",Ross,0,0,116,0,3,10,"00:04:30,853","00:04:34,648",116_0_train
40,4873,"I mean this picture is supposed to say ""Geller and Bing to be married,"" not ""Local woman saves drowning moron!""",Monica,6,2,498,5,7,5,"00:07:29,532","00:07:38,623",498_5_train
41,9412,Oh my God! He did it?,Phoebe,1,1,939,4,9,1,"0:06:03,843","0:06:05,714",939_4_train
42,1007,Uh huh.,Susan,0,0,94,8,2,2,"00:13:46,367","00:13:47,659",94_8_dev
43,8001,"No, I will. I’m just not up for it tonight.",Rachel,0,0,806,12,8,2,"00:18:05,334","00:18:08,086",806_12_train
44,4438,"Ok, look! Enough is enough!",Chandler,6,2,451,1,9,23,"00:43:53,797","00:43:56,758",451_1_train
45,8639,Oh!,Ross,1,1,861,13,1,8,"00:04:45,326","00:04:46,827",861_13_train
46,9467,"Oh, what was that for? Like a bake sale?",Phoebe,1,1,943,4,7,3,"0:13:40,402","0:13:42,113",943_4_train
47,9515,"Well umm, they both have a egg yolk and butter base, but a bearnaise has shallots, shirvel, and most importantly tarragon.",Monica,0,0,947,11,8,21,"00:09:31,238","00:09:42,874",947_11_train
48,5170,"Hey. What, what are you doing here?",Joey,1,1,524,1,3,10,"00:07:25,653","00:07:27,988",524_1_train
49,56,"Oh, it's so romantic to send people off on their honeymoon.",Phoebe,4,1,6,0,8,3,"00:03:10,273","00:03:14,610",6_0_dev
50,4325,Let’s get the show on it!,Monica,4,1,443,0,3,17,"00:01:44,145","00:01:47,648",443_0_train
51,93,I don’t know.  Let me see the ring.,Customer,0,0,8,3,6,23,"00:19:28,375","00:19:34,964",8_3_train
52,364,Y’know what? I think that’s enough for now. Yeah. I don’t want to be over rehearsed.,Joey,0,0,30,12,6,20,"00:00:42,500","00:00:46,962",30_12_dev
53,8262,Varrrrrrrrrrom!,Chandler,4,1,830,3,3,7,"00:22:14,249","00:22:15,583",830_3_train
54,10295,"Hey-hey, y’know what?",Rachel,6,2,1022,12,7,2,"0:08:07,612","0:08:10,824",1022_12_train
55,1940,"Wow, that’s great.",Leslie,4,1,193,1,3,14,"00:13:53,707","00:13:54,999",193_1_train
56,562,"Ooh, I have to tell you something.",Phoebe,4,1,52,1,3,21,"00:12:56,400","00:12:57,942",52_1_train
57,8,Hey!,All,4,1,1,5,4,4,"0:12:44,074","0:12:45,189",1_5_dev
58,7094,Making holiday candy for the neighbors.,Monica,0,0,701,1,7,9,"00:02:07,252","00:02:09,336",701_1_train
59,9720,"So ah, Monica ready yet?",Chip,0,0,965,4,4,2,"00:13:13,042","00:13:14,584",965_4_train
60,2200,"I’m not worried, I’m uh, I’m fascinated.",Chandler,2,2,223,1,7,1,"00:04:23,846","00:04:27,766",223_1_test
61,9213,It’s-it’s like I was saying to Ursula when I was making love to her and I thought she was you—Yeah it is too weird.,Eric,3,2,921,7,8,7,"00:17:18,912","00:17:26,919",921_7_train
62,1047,"No, no. He said ""When are you gonna grow up and start being a mom?""",Joey,0,0,111,14,1,11,"00:20:19,843","00:20:22,511",111_14_test
63,2182,"Yeah, I’m just, I’m just in town for a conference. Umm,",David,0,0,214,7,7,11,"00:09:09,632","00:09:12,008",214_7_train
64,10401,"Just you keep it, listen did you, did you tell anyone about us?",Ross,3,2,1030,4,3,16,"00:08:27,757","00:08:31,259",1030_4_train
65,608,"I'd love to ask you in, but uh, my sister's visiting and I think she's asleep on the couch.",Danny,0,0,55,2,5,10,"00:11:05,373","00:11:14,381",55_2_train
66,298,What?  Why?,Monica,1,2,29,4,9,23,"0:08:45,668","0:08:48,470",29_4_train
67,1002,Come on. It doesn't taste bad.,Phoebe,0,0,94,3,2,2,"00:13:24,345","00:13:28,306",94_3_dev
68,9612,Ball? There is no ball.,Rachel,6,2,955,6,5,7,"00:09:04,293","00:09:07,462",955_6_train
69,546,"Okay, I know it sounds crazy, but I think it might work. Y’know? The only problem is, Carl’s acting is",Joey,0,0,51,2,6,17,"00:15:11,785","00:15:16,998",51_2_dev
70,4440,"Monica, that was also true an",Chandler,0,0,451,3,9,23,"0:43:58,886","0:44:01,287",451_3_train
71,1760,You wanna go down to the office right now?,Tag,0,0,175,19,7,12,"00:09:01,374","00:09:03,458",175_19_test
72,7906,Tulsa is Italy—Please don’t make me go  there!,Chandler,2,2,796,12,9,2,"00:14:08,597","00:14:11,015",796_12_train
73,2543,So he's calling from Rome. I could do that. Just gotta go to Rome.,Ross,0,0,255,6,1,8,"00:03:24,078","00:03:29,166",255_6_test
74,1551,Is that too much to ask after six years?!,Monica,6,2,160,2,6,2,"00:14:31,287","00:14:33,413",160_2_test
75,4388,You know what else I’m not gonna miss?,Rachel,6,2,448,1,6,6,"0:10:14,822","0:10:16,783",448_1_train
76,3133,But I made cards!!,Joey,3,2,312,18,3,25,"00:17:31,967","00:17:34,052",312_18_train
77,5468,Well how about this one? Testing the effects of Joey Tribbiani on attractive nurse receptionists.,Joey,0,0,549,8,6,17,"00:07:39,709","00:07:46,673",549_8_train
78,785,"Well, anyway, I got to go change, I’m ah, meeting some of the cast for drinks.",Joey,0,0,73,9,3,21,"00:08:40,478","00:08:43,438",73_9_train
79,217,"She loves sandwiches, sports, although she is a Met fan, not much of an issue now but if we were ever to have kids, well that’s a",Joey,4,1,20,14,7,7,"00:11:18,928","00:11:31,356",20_14_train
80,7537,"So, how’d the lasagne go over?",Monica,0,0,756,0,3,13,"00:11:44,036","00:11:46,079",756_0_train
81,1685,OK.,Rachel,0,0,171,2,1,7,"00:12:42,928","00:12:44,721",171_2_train
82,7151,Hi Bob!,Phoebe,4,1,707,13,5,10,"0:16:59,143","0:16:59,995",707_13_train
83,7953,"Honey, really, don't squeeze it so hard!",Monica,6,2,801,7,2,6,"00:10:28,544","00:10:30,879",801_7_train
84,8711,"This is what I’ve got going for the party so far, liquor wise. Get a lot of liquor.",Joey,0,0,870,0,4,22,"00:04:34,107","00:04:40,153",870_0_train
85,5135,"And now, he’s got a two year contract opposite Susan Luchhi, the first lady of daytime television, and me, me I’m stuck here teaching a bunch of people, most of whom are too ugly to even be on TV.",Joey,3,2,521,4,3,7,"00:20:42,282","00:20:50,581",521_4_train
86,170,It’s moving.,Rachel,2,2,15,6,8,7,"0:21:09,060","0:21:09,217",15_6_dev
87,4487,It was the ring!,Chandler,6,2,456,11,6,23,"0:13:40,153","0:13:41,764",456_11_train
88,4328,Closer than here?,Rachel,0,0,443,3,3,17,"00:01:51,820","00:01:52,861",443_3_train
89,6671,I already feel like I know you a little better!,Rachel,4,1,660,9,6,23,"0:05:20,987","0:05:23,129",660_9_train
90,6744,Hey!,Monica,0,0,666,1,5,7,"0:11:01,035","0:11:01,926",666_1_train
91,1213,"Okay, what is in here? Rocks?",Chandler,1,2,124,1,5,6,"00:10:16,699","00:10:18,366",124_1_train
92,6344,Fine.,Rachel,0,0,634,1,7,16,"00:15:05,696","00:15:08,156",634_1_train
93,1095,"Just admit it Chandler, you have no backhand.",Ross,0,0,115,1,3,10,"00:01:43,937","00:01:46,438",115_1_test
94,8128,"I know. I just wish that once, I'd bring a guy home that they actually liked.",Monica,3,2,818,6,1,3,"00:07:22,316","00:07:25,652",818_6_train
95,2528,Okay-Dokey,Joey,3,2,251,6,3,21,"00:12:02,000","00:12:03,596",251_6_train
96,1588,And that picture of Chi-Chi with her mischievous grin.,Ross,0,0,163,4,8,18,"00:21:26,314","00:21:30,026",163_4_test
97,1865,It was like months ago.,Rachel,1,1,185,4,1,24,"00:08:40,520","00:08:42,229",185_4_train
98,9140,"Well, you suck! But at least you suck at a man's game now.",Joey,6,2,913,3,5,10,"00:08:32,470","00:08:35,805",913_3_train
99,10408,"Umm. Well, there’s Rachel, and umm, I think that’s it. How bout you?",Monica,0,0,1032,1,4,2,"00:15:02,943","00:15:08,239",1032_1_train
100,4430,"Well, it turns out he’s incredibly sensitive, he keeps a journal and he paints.",Phoebe,0,0,450,17,3,23,"00:14:42,131","00:14:47,051",450_17_train
101,5774,"Mom no, come on! Thank you.",Ross,1,1,584,8,8,23,"0:07:14,380","0:07:16,972",584_8_train
102,1603,I can’t find garbage bags!,Monica,6,2,165,0,4,12,"00:21:18,443","00:21:20,528",165_0_test
103,3536,You got it?,Chandler,0,0,352,4,1,15,"0:21:58,164","0:21:58,626",352_4_train
104,571,Does it have to do with-with Chandler and that sock that he keeps by his bed?,Monica,0,0,52,10,3,21,"00:13:22,676","00:13:26,262",52_10_train
105,450,What? I…I just figured since you’re pregnant you’re not gonna be seeing people.,Joey,1,2,40,5,8,5,"00:06:50,743","00:06:56,706",40_5_dev
106,3396,So you don’t have the cameras?!,Chandler,1,2,337,14,8,2,"0:03:40,512","0:03:43,464",337_14_train
107,2367,It’s unbelievable! I-I can’t believe that sign didn’t work!,Monica,1,2,234,4,7,9,"00:11:39,365","00:11:41,783",234_4_train
108,2145,You’re right! You’re right. Don’t say it.,Phoebe,3,2,215,6,7,11,"00:19:03,725","00:19:06,936",215_6_test
109,855,"Wayne, Chandler.",Joey,0,0,93,9,6,21,"0:19:09,792","0:19:10,627",93_9_test
110,1719,The musician right outside the restaurant...it's kind    of a mood-killer!,3rd Customer,3,2,174,6,9,19,"00:06:16,168","00:06:19,463",174_6_train
111,2502,But you gotta have turkey on Thanksgiving!,Joey,4,1,249,3,8,9,"00:02:17,262","00:02:19,555",249_3_train
112,2104,"Oh, really.",Mischa,1,1,207,14,3,15,"00:15:32,389","00:15:33,890",207_14_train
113,5403,But,Joshua,0,0,544,4,4,16,"00:20:54,836","00:20:55,878",544_4_train
114,289,"And it’s all because of you, wonderful, amazing you.",Ross,4,1,28,3,4,15,"00:19:27,916","00:19:29,917",28_3_train
115,1026,"Look at it! Ohhh! Wallpaper’s a little faded, that’s okay. Carpet’s a little loose. Hardwood floors!!",Monica,4,1,97,0,3,20,"00:03:55,109","00:04:03,992",97_0_dev
116,707,"I don’t know, something either trees or disease—Ralph mumbles a lot.",Rachel,0,0,67,7,6,19,"00:02:22,000","00:02:30,899",67_7_dev
117,3552,Mr. Heckles.,Monica,0,0,354,11,2,3,"00:03:36,633","00:03:38,091",354_11_train
118,8737,Don't listen to your mother.,Mr. Geller,0,0,872,6,1,2,"00:09:54,302","00:09:55,468",872_6_train
119,860,What do you need?,Joey,0,0,93,14,6,21,"0:19:18,991","0:19:21,758",93_14_test
120,1981,Good!,Phoebe,0,0,198,0,6,25,"00:13:09,121","00:13:10,663",198_0_train
121,34,You can do it!,Ross,4,1,2,7,5,16,"0:07:47,777","0:07:48,648",2_7_test
122,5907,That was the only way I could get him to,Ross,0,0,596,17,6,5,"00:15:10,284","00:15:12,368",596_17_train
123,1066,Take it.,Monica,0,0,102,0,1,2,"0:13:40,766","0:13:42,477",102_0_dev
124,10406,Bing! You got those numbers for me?,Doug,4,1,1031,3,3,24,"00:15:29,511","00:15:31,971",1031_3_train
125,802,No way!,Joey,6,2,85,2,6,4,"00:10:24,874","00:10:26,124",85_2_test
126,8351,No!!,Phoebe,5,2,839,8,6,14,"0:16:59,810","0:17:01,938",839_8_train
127,2941,Yeah!,Phoebe,6,2,295,18,7,11,"0:14:33,667","0:14:34,059",295_18_train
128,2878,"I mean, wow!",Ross,1,1,288,12,6,13,"0:16:05,456","0:16:06,890",288_12_train
129,9238,"Ugh, well I will just have to soak up every once of Chandler Bing until that moment comes.",Janice,3,2,923,12,4,15,"00:06:57,166","00:07:06,174",923_12_train
130,10340,Well you’re whippin’ so slow! Can’t you do it any faster?,Joey,6,2,1025,7,6,9,"00:12:12,231","00:12:14,482",1025_7_train
131,6317,"No, it’s worse than that.",Monica,5,2,632,6,9,1,"0:14:48,070","0:14:49,082",632_6_train
132,6755,"Hey, hi, I need a ladle. You got a ladle?",Danny,0,0,666,12,5,7,"0:11:42,034","0:11:44,579",666_12_train
133,6420,Oh. And Rachel has been really incredible in getting my morning bagel for me. It’s amazing how she gets it right almost,Joanna,4,1,640,9,4,9,"00:06:55,331","00:07:01,920",640_9_train
134,864,"Ross, let me show you where the guest room is.",Paul,0,0,94,2,6,22,"00:19:34,047","00:19:39,719",94_2_test
135,8705,"And you'll be all, 'Ohh, man!'",Joey,6,2,869,12,3,12,"00:13:11,624","00:13:14,459",869_12_train
136,8648,In the hall.,Monica,0,0,862,3,9,20,"00:01:53,935","00:01:56,987",862_3_train
137,1272,"If anyone asks, we’ll just say Ben addressed them.  Oh! So you invited Rachel then?",Emily,1,1,130,6,4,21,"00:02:47,167","00:02:53,088",130_6_test
138,9121,"Yeah, it's his, uh, innate Alan-ness that-that-that we adore.",Ross,4,1,910,13,1,3,"00:11:44,120","00:11:48,832",910_13_train
139,174,Ewww! Oh! It’s the Mattress King!,Phoebe,5,2,17,3,3,7,"00:02:12,257","00:02:14,049",17_3_test
140,8217,No.,Monica,0,0,825,1,6,15,"0:08:04,233","0:08:05,248",825_1_train
141,7940,"My brother, the PhD would like to know if there's any way to treat this orally.",Monica,0,0,799,4,2,6,"00:09:51,757","00:09:56,595",799_4_train
142,5074,Fine.,Tag,6,2,513,4,7,12,"00:13:24,178","00:13:26,054",513_4_train
143,10477,Yeah.,All,0,0,1038,16,2,3,"00:01:05,398","00:01:07,274",1038_16_train
144,143,"Well, well to sum up, we’re having fun, you look young.",Ross,0,0,14,0,8,11,"00:13:42,112","00:13:53,456",14_0_train
145,8874,"All right, bad ankle, got it!",Ross,0,0,888,10,4,15,"00:16:44,837","00:16:46,587",888_10_train
146,8477,"No, no, ok, you hang up.",Ross,4,1,847,1,2,1,"00:08:57,161","00:08:59,246",847_1_train
147,2807,Anybody gonna eat that?,Joey,0,0,280,2,5,12,"00:02:25,478","00:02:27,271",280_2_train
148,341,"Wendy, we had a deal!  Yeah, you promised! Wendy! Wendy! Wendy!",Monica,6,2,29,0,1,15,"00:15:52,368","00:15:56,496",29_0_dev
149,2730,Oh all right.,Chandler,0,0,273,14,6,23,"0:00:39,122","0:00:39,562",273_14_train
150,100,And what’s more different than me. A guy who’s,Joey,0,0,9,7,6,3,"00:05:47,472","00:05:51,141",9_7_dev
151,10250,What happened to you two?,Phoebe,1,2,1018,16,8,8,"0:17:09,844","0:17:10,143",1018_16_train
152,5787,"Wait, wait, wait.",Ross,4,1,585,9,3,6,"00:20:17,382","00:20:18,966",585_9_train
153,10092,I know. I’m sorry.,Rachel,3,2,1006,2,6,18,"00:19:52,649","00:19:55,193",1006_2_train
154,5209,"But, okay.",Ross,0,0,526,13,3,5,"00:20:53,460","00:20:55,086",526_13_train
155,3947,"No, that’s",Joey,0,0,404,2,6,12,"00:02:38,908","00:02:42,578",404_2_train
156,1707,They are completely different—Okay!,Monica,6,2,173,4,6,17,"0:12:41,177","0:12:42,846",173_4_test
157,180,"Oh right, because you’re so capable of change.",Phoebe,6,2,16,6,7,5,"00:20:10,125","00:20:12,418",16_6_dev
158,2733,"Oh well, we don’t because we got…the…other pl-place.",Chandler,0,0,273,16,6,23,"00:00:42,208","00:00:45,711",273_16_train
159,9479,"It’s not funny, this is actually my job.",Rachel,6,2,945,8,3,11,"00:05:22,947","00:05:25,073",945_8_train
160,2395,Oh really? Then how come no one here is wearing them?,Chandler,0,0,236,9,4,23,"00:09:40,663","00:09:44,833",236_9_train
161,8151,Oh hey! How was your audition?,Phoebe,4,1,820,0,7,19,"00:00:05,380","00:00:08,257",820_0_train
162,4915,How you doin’?,Tag,0,0,501,12,7,5,"00:12:17,361","00:12:19,112",501_12_train
163,7844,"Joey, I gotta tell ya, I've been thinking",Rachel,0,0,792,2,9,19,"00:09:19,309","00:09:24,106",792_2_train
164,10402,"Oh no. I feel it isn’t really anybody’s business, y'know.",Chloe,0,0,1030,5,3,16,"00:08:31,427","00:08:34,596",1030_5_train
165,34,"Ah… Ah…Get out of here!  Uh, meeting someone? Or-or are you just here to brush up on Marion’s views on evolution?",Ross,6,2,4,6,7,7,"00:14:51,932","00:15:11,743",4_6_dev
166,1599,You got,Joey,0,0,163,10,6,25,"00:07:18,563","00:07:20,730",163_10_train
167,8904,I thought you already have a job.,Joey,0,0,892,2,8,21,"0:03:53,984","0:03:55,152",892_2_train
168,6521,"Ah… Hey, so this roommate of yours…is he good looking?",Joey,4,1,649,19,8,12,"00:05:28,077","00:05:30,954",649_19_train
169,6139,"And Monica, with that snort when she laughs?",Chandler,6,2,615,11,1,3,"00:14:39,545","00:14:41,671",615_11_train
170,411,I talk to you and nothin’.,Joey,6,2,39,4,3,19,"00:11:11,003","00:11:13,421",39_4_train
171,967,What is the big deal?,Joey,6,2,91,4,2,2,"00:09:21,435","00:09:24,229",91_4_dev
172,3152,Yeah me too.,Rachel,0,0,314,10,6,25,"00:03:10,982","00:03:13,400",314_10_train
